city,date,avg_temperature_c,humidity_pct,air_quality_index,avg_commute_time_min,traffic_congestion_pct,noise_level_db,is_workday,public_events_count,micro_stress_index
New York,2023-05-26,20.7,72.1,37,23.2,97.3,52.3,1,5,53.89
New York,2023-05-27,16.5,76.7,65,40.8,57.4,56.8,0,2,44.64
New York,2023-05-28,20.2,64.9,75,39.8,64.6,62.1,0,3,45.42
New York,2023-05-29,11.5,61.9,41,34.5,65.8,60.6,1,2,52.62
New York,2023-05-30,-3.1,67.9,59,29.7,73.1,51.6,1,1,57.61
New York,2023-05-31,14.5,64.4,42,32.7,59.5,54.5,1,0,47.17
New York,2023-06-01,16.9,66.7,57,36.0,71.6,64.0,1,2,53.84
New York,2023-06-02,11.6,62.9,51,43.9,57.4,52.1,1,4,54.22
New York,2023-06-03,15.4,39.1,43,39.1,42.8,58.9,0,0,35.54
New York,2023-06-04,12.0,64.7,20,52.5,47.1,57.8,0,3,45.15
New York,2023-06-05,13.0,42.2,59,37.7,82.1,52.4,1,1,52.77
New York,2023-06-06,19.3,74.2,82,45.7,69.1,62.0,1,1,55.92
New York,2023-06-07,10.5,65.6,55,49.8,61.6,58.5,1,0,55.42
New York,2023-06-08,17.1,66.8,27,28.2,83.0,54.7,1,1,49.94
New York,2023-06-09,29.5,72.2,73,29.9,43.7,65.5,1,1,48.36
New York,2023-06-10,30.6,70.6,63,53.3,55.3,62.6,0,6,52.6
New York,2023-06-11,24.5,62.9,42,25.7,38.9,48.3,0,3,32.33
New York,2023-06-12,21.7,63.4,27,43.3,69.6,59.3,1,4,52.57
New York,2023-06-13,23.9,72.3,67,45.4,67.7,51.5,1,2,53.28
New York,2023-06-14,19.2,64.1,70,40.6,65.5,50.5,1,4,52.66
New York,2023-06-15,24.5,47.4,69,39.0,84.3,61.4,1,1,53.58
New York,2023-06-16,18.3,56.5,42,40.7,90.0,60.0,1,1,54.97
New York,2023-06-17,29.6,58.9,51,36.1,53.2,61.2,0,3,42.47
New York,2023-06-18,25.8,61.3,88,32.8,68.4,62.7,0,3,45.41
New York,2023-06-19,7.8,77.6,42,56.5,56.5,58.9,1,3,60.48
New York,2023-06-20,28.2,70.9,69,31.6,52.7,58.0,1,0,47.6
New York,2023-06-21,28.9,58.5,72,41.5,23.4,62.0,1,1,45.24
New York,2023-06-22,13.3,63.6,63,25.1,67.8,60.9,1,3,51.82
New York,2023-06-23,29.2,62.0,77,20.5,46.2,59.7,1,1,44.28
New York,2023-06-24,15.8,72.7,20,37.4,80.5,57.0,0,4,47.63
New York,2023-06-25,19.8,82.7,87,32.3,56.0,60.3,0,3,43.85
New York,2023-06-26,19.2,63.0,36,29.4,61.6,59.8,1,2,46.95
New York,2023-06-27,15.8,64.9,56,27.0,38.6,52.9,1,1,42.13
New York,2023-06-28,22.0,65.9,68,36.8,63.4,55.0,1,3,50.09
New York,2023-06-29,11.1,70.7,27,55.3,66.2,59.7,1,1,57.77
New York,2023-06-30,16.6,59.6,66,32.4,80.3,71.3,1,0,54.1
New York,2023-07-01,23.4,71.9,57,33.1,52.6,58.4,0,2,39.32
New York,2023-07-02,16.4,85.1,89,27.7,54.3,58.4,0,3,43.58
New York,2023-07-03,15.0,71.0,39,31.9,82.4,54.2,1,1,52.65
New York,2023-07-04,17.1,70.1,60,35.7,64.1,54.3,1,3,51.81
New York,2023-07-05,28.3,70.1,80,31.5,37.5,59.0,1,4,48.53
New York,2023-07-06,20.5,73.5,63,29.2,55.3,63.1,1,4,49.79
New York,2023-07-07,15.6,59.8,59,42.1,62.0,52.2,1,1,50.67
New York,2023-07-08,21.5,67.4,64,36.0,69.0,57.8,0,4,44.49
New York,2023-07-09,29.5,90.9,65,38.6,67.9,56.2,0,5,50.77
New York,2023-07-10,30.5,63.8,20,31.1,84.5,57.9,1,1,52.39
New York,2023-07-11,26.7,70.5,49,33.1,59.1,53.4,1,4,50.16
New York,2023-07-12,19.2,77.3,54,37.1,70.6,54.0,1,2,52.22
New York,2023-07-13,22.3,62.4,65,32.2,78.1,51.3,1,2,49.91
New York,2023-07-14,28.2,51.8,68,41.3,46.8,62.2,1,3,50.42
New York,2023-07-15,6.4,42.2,56,44.8,68.8,57.7,0,1,47.54
New York,2023-07-16,18.2,69.2,45,42.0,67.9,59.6,0,1,44.3
New York,2023-07-17,27.1,59.7,67,32.9,70.1,54.8,1,1,50.03
New York,2023-07-18,4.9,62.0,21,42.2,80.8,53.7,1,0,56.48
New York,2023-07-19,27.6,82.1,51,34.6,66.1,63.8,1,0,52.14
New York,2023-07-20,22.8,76.6,59,41.1,74.8,71.4,1,2,56.6
New York,2023-07-21,24.1,78.7,51,43.6,89.2,64.6,1,2,59.29
New York,2023-07-22,12.3,65.3,48,16.8,71.4,58.7,0,4,42.49
New York,2023-07-23,14.1,51.8,41,35.7,58.6,54.5,0,3,41.2
New York,2023-07-24,8.0,72.6,55,24.3,60.4,54.2,1,3,51.56
New York,2023-07-25,18.7,71.7,58,30.0,60.2,54.0,1,5,50.47
New York,2023-07-26,14.3,49.9,20,23.3,69.0,60.5,1,4,48.35
New York,2023-07-27,21.2,58.9,39,38.7,52.5,47.0,1,1,43.6
New York,2023-07-28,32.2,60.1,64,34.7,83.4,63.8,1,2,57.52
New York,2023-07-29,25.7,67.3,73,38.3,55.8,59.8,0,2,42.87
New York,2023-07-30,6.4,58.5,107,32.1,35.6,61.7,0,6,46.39
New York,2023-07-31,28.0,58.3,81,34.0,69.3,59.3,1,2,52.77
New York,2023-08-01,5.3,76.7,85,42.2,50.2,65.4,1,1,57.78
New York,2023-08-02,12.3,60.7,54,34.7,43.8,64.1,1,0,47.41
New York,2023-08-03,6.5,56.9,73,48.9,46.5,55.0,1,3,55.65
New York,2023-08-04,16.2,64.9,64,36.1,58.5,57.5,1,0,48.89
New York,2023-08-05,11.2,61.4,20,33.2,63.6,59.1,0,6,45.82
New York,2023-08-06,7.4,53.7,30,37.1,91.0,69.2,0,4,53.76
New York,2023-08-07,9.9,56.3,55,40.0,79.4,48.9,1,1,54.67
New York,2023-08-08,18.4,88.3,59,43.2,94.4,63.6,1,1,61.23
New York,2023-08-09,19.8,59.3,23,37.9,69.0,66.8,1,1,49.97
New York,2023-08-10,17.1,67.8,40,43.0,63.1,52.1,1,4,52.87
New York,2023-08-11,12.8,58.5,42,47.0,33.0,73.7,1,5,53.47
New York,2023-08-12,24.4,65.9,50,34.8,62.1,63.7,0,2,42.05
New York,2023-08-13,18.9,75.0,100,37.5,94.4,56.8,0,3,52.59
New York,2023-08-14,29.2,59.7,36,30.5,57.0,62.3,1,0,46.5
New York,2023-08-15,25.8,70.2,41,39.5,77.0,61.8,1,4,56.19
New York,2023-08-16,13.4,64.8,21,22.9,62.1,55.3,1,0,44.51
New York,2023-08-17,4.9,67.1,54,29.5,74.9,62.7,1,0,55.5
New York,2023-08-18,18.7,57.9,34,29.9,78.1,54.9,1,3,49.91
New York,2023-08-19,7.7,63.7,55,36.2,40.2,64.0,0,3,43.77
New York,2023-08-20,37.5,52.1,41,37.5,48.4,61.9,0,5,45.66
New York,2023-08-21,14.1,73.9,20,35.8,70.0,53.3,1,0,49.9
New York,2023-08-22,13.4,76.2,54,35.9,60.1,58.8,1,1,51.95
New York,2023-08-23,26.6,56.3,40,33.6,44.8,53.9,1,4,45.65
New York,2023-08-24,18.2,72.6,52,51.9,88.5,51.4,1,1,58.42
New York,2023-08-25,24.2,56.8,57,36.5,49.2,63.3,1,0,45.6
New York,2023-08-26,24.9,77.0,51,32.4,65.0,61.0,0,2,42.87
New York,2023-08-27,8.8,50.8,78,33.4,59.1,60.4,0,4,46.41
New York,2023-08-28,7.6,73.2,61,28.8,52.0,63.6,1,3,53.28
New York,2023-08-29,17.4,71.0,43,34.7,65.6,53.0,1,2,49.89
New York,2023-08-30,7.8,53.7,49,15.0,76.7,46.0,1,1,46.98
New York,2023-08-31,24.3,64.6,94,37.7,80.8,54.4,1,3,55.84
New York,2023-09-01,18.1,66.9,73,30.1,32.6,59.3,1,1,43.09
New York,2023-09-02,27.9,51.5,67,41.4,30.9,53.3,0,1,35.81
New York,2023-09-03,14.1,57.0,87,35.1,54.6,57.8,0,6,46.13
New York,2023-09-04,9.9,58.8,46,33.5,84.2,60.8,1,1,55.74
New York,2023-09-05,24.0,76.4,85,27.9,52.8,51.7,1,2,46.82
New York,2023-09-06,22.6,71.2,32,34.8,65.6,60.9,1,1,48.34
New York,2023-09-07,15.8,67.2,70,31.1,97.8,48.5,1,1,55.35
New York,2023-09-08,18.4,52.7,62,39.0,65.7,59.7,1,1,50.19
New York,2023-09-09,14.3,66.6,57,36.3,73.2,55.1,0,7,49.91
New York,2023-09-10,12.3,73.3,81,45.4,68.5,52.0,0,2,49.45
New York,2023-09-11,10.0,71.0,71,32.4,57.9,59.3,1,1,52.38
New York,2023-09-12,36.8,62.5,46,30.8,76.2,57.1,1,1,54.22
New York,2023-09-13,14.8,78.2,82,31.2,37.0,63.0,1,2,48.68
New York,2023-09-14,31.0,52.6,39,31.2,42.1,58.2,1,0,43.21
New York,2023-09-15,16.7,71.9,56,40.7,94.6,50.2,1,2,57.84
New York,2023-09-16,26.2,62.1,82,32.8,59.6,45.0,0,2,39.64
New York,2023-09-17,27.1,60.8,20,37.6,71.6,60.0,0,4,44.79
New York,2023-09-18,20.9,75.5,42,22.7,75.4,45.2,1,0,44.47
New York,2023-09-19,11.3,54.1,67,26.8,75.0,60.3,1,1,52.0
New York,2023-09-20,29.6,55.2,44,39.7,76.8,56.7,1,5,56.33
New York,2023-09-21,20.7,56.9,37,40.2,71.3,65.0,1,1,50.81
New York,2023-09-22,25.2,50.0,75,28.0,59.2,59.3,1,2,46.78
New York,2023-09-23,28.7,75.0,70,35.4,81.3,62.6,0,3,50.32
New York,2023-09-24,9.6,52.8,75,43.5,74.5,58.4,0,2,49.96
New York,2023-09-25,25.6,73.5,48,35.4,42.2,56.2,1,4,47.72
New York,2023-09-26,34.6,65.4,49,38.2,68.7,64.9,1,1,55.64
New York,2023-09-27,11.1,54.9,61,42.5,55.3,61.9,1,4,55.04
New York,2023-09-28,17.0,66.4,20,39.3,49.6,51.2,1,3,46.99
New York,2023-09-29,15.7,47.9,31,45.9,62.7,55.3,1,4,52.25
New York,2023-09-30,32.2,60.1,48,31.8,57.4,49.7,0,2,40.21
New York,2023-10-01,18.2,55.8,71,44.3,37.3,53.4,0,2,38.55
New York,2023-10-02,6.0,63.7,72,25.7,66.3,60.0,1,0,52.4
New York,2023-10-03,15.6,62.3,87,46.7,45.5,62.1,1,0,51.2
New York,2023-10-04,29.5,75.1,22,43.4,74.8,50.3,1,2,54.22
New York,2023-10-05,24.4,68.4,61,25.4,80.7,63.8,1,1,51.19
New York,2023-10-06,7.8,70.1,65,35.5,81.9,56.3,1,1,57.99
New York,2023-10-07,19.8,63.3,58,33.0,63.0,62.1,0,3,42.37
New York,2023-10-08,34.0,78.8,28,41.5,57.5,59.3,0,3,47.08
New York,2023-10-09,13.7,58.1,35,29.3,64.0,54.4,1,3,48.96
New York,2023-10-10,24.0,69.7,55,41.9,72.2,51.8,1,3,53.29
New York,2023-10-11,25.5,62.9,75,54.9,53.2,51.1,1,4,54.7
New York,2023-10-12,26.6,54.8,21,19.7,73.1,58.9,1,0,43.92
New York,2023-10-13,15.6,73.6,46,35.6,65.4,48.4,1,0,48.75
New York,2023-10-14,26.3,64.8,59,33.0,91.2,52.9,0,1,45.76
New York,2023-10-15,24.3,54.6,56,37.3,54.6,59.6,0,2,39.71
New York,2023-10-16,43.6,77.4,26,25.4,72.2,60.7,1,3,57.46
New York,2023-10-17,20.7,42.8,49,29.2,67.6,72.9,1,2,48.45
New York,2023-10-18,21.4,66.6,46,48.7,48.5,59.8,1,1,48.83
New York,2023-10-19,11.7,72.4,56,50.0,60.8,60.1,1,1,56.65
New York,2023-10-20,20.8,49.7,25,40.8,62.8,55.0,1,1,46.16
New York,2023-10-21,20.9,69.5,20,47.3,85.1,46.3,0,3,46.23
New York,2023-10-22,28.1,62.6,64,53.8,68.8,53.4,0,1,47.9
New York,2023-10-23,23.5,56.9,44,25.7,63.0,58.9,1,2,45.32
New York,2023-10-24,41.0,53.9,83,44.0,69.2,66.8,1,4,63.32
New York,2023-10-25,18.1,79.3,60,33.6,63.6,63.1,1,0,50.73
New York,2023-10-26,29.9,60.4,53,36.5,77.7,46.8,1,1,51.62
New York,2023-10-27,15.1,67.1,78,32.1,36.9,61.1,1,1,46.25
New York,2023-10-28,15.0,63.2,41,18.4,78.5,64.4,0,1,41.19
New York,2023-10-29,25.2,53.6,49,35.9,74.0,61.3,0,1,42.59
New York,2023-10-30,23.7,79.6,68,42.3,66.3,65.1,1,1,54.34
New York,2023-10-31,31.2,72.0,45,32.2,69.4,60.3,1,6,56.61
New York,2023-11-01,19.3,52.8,34,43.5,55.5,53.0,1,1,46.45
New York,2023-11-02,26.8,63.4,26,36.2,68.3,55.6,1,4,51.47
New York,2023-11-03,11.3,73.9,57,40.4,47.4,53.5,1,1,50.54
New York,2023-11-04,23.7,51.3,70,26.1,73.3,61.1,0,2,40.74
New York,2023-11-05,12.4,79.3,44,35.5,60.0,60.5,0,1,44.37
New York,2023-11-06,10.1,76.6,67,33.7,58.0,61.2,1,1,53.37
New York,2023-11-07,29.3,56.9,61,38.5,63.5,55.5,1,0,49.87
New York,2023-11-08,19.7,63.7,60,47.5,81.2,51.4,1,1,54.66
New York,2023-11-09,25.0,78.3,61,44.7,95.2,63.1,1,5,63.87
New York,2023-11-10,13.5,80.3,63,24.8,70.5,47.5,1,3,51.53
New York,2023-11-11,25.0,73.9,42,37.0,94.3,55.5,0,3,49.12
New York,2023-11-12,35.7,65.0,74,46.7,53.9,55.6,0,3,48.76
New York,2023-11-13,35.9,59.7,47,38.7,88.3,62.3,1,5,62.47
New York,2023-11-14,21.9,53.5,61,34.4,91.3,65.9,1,1,53.73
New York,2023-11-15,19.4,60.5,57,29.9,48.0,61.1,1,3,46.19
New York,2023-11-16,27.2,58.7,59,42.6,64.5,60.3,1,1,52.08
New York,2023-11-17,15.9,63.0,49,30.0,62.3,50.3,1,1,46.76
New York,2023-11-18,18.0,62.6,52,39.8,78.1,54.8,0,2,45.53
New York,2023-11-19,16.9,59.2,81,26.9,59.3,59.7,0,2,40.54
New York,2023-11-20,19.7,56.5,65,21.7,59.6,59.5,1,2,44.95
New York,2023-11-21,8.6,72.8,37,35.8,36.7,56.0,1,1,47.51
New York,2023-11-22,10.5,41.8,64,49.1,81.9,61.4,1,3,60.39
New York,2023-11-23,10.5,60.0,88,35.4,20.0,50.7,1,3,45.27
New York,2023-11-24,15.8,45.4,44,38.8,68.9,51.7,1,3,50.41
New York,2023-11-25,3.2,73.6,36,39.2,45.6,59.5,0,2,45.86
New York,2023-11-26,15.6,73.3,31,37.8,83.3,55.4,0,1,46.24
New York,2023-11-27,29.4,66.9,43,39.9,48.5,61.4,1,2,50.11
New York,2023-11-28,22.4,68.8,81,41.5,62.9,52.1,1,1,50.21
New York,2023-11-29,26.6,64.7,40,30.1,64.0,62.4,1,2,49.22
New York,2023-11-30,-2.0,60.0,43,47.1,59.2,59.9,1,0,58.27
New York,2023-12-01,15.2,53.9,102,37.8,65.3,62.4,1,1,53.63
New York,2023-12-02,20.5,59.9,77,34.3,41.7,56.5,0,0,35.33
New York,2023-12-03,15.4,68.3,23,42.0,58.8,52.3,0,3,42.79
New York,2023-12-04,14.2,72.6,67,50.8,62.4,61.3,1,0,56.19
New York,2023-12-05,32.3,66.4,39,26.4,72.6,59.0,1,2,51.66
New York,2023-12-06,27.0,60.4,36,43.6,78.1,65.4,1,2,55.79
New York,2023-12-07,19.1,57.0,37,26.0,58.0,52.2,1,1,42.59
New York,2023-12-08,11.2,68.0,52,39.9,40.3,58.0,1,4,51.46
New York,2023-12-09,12.4,82.5,72,34.1,82.0,52.5,0,2,49.52
New York,2023-12-10,13.3,46.2,58,49.7,64.1,48.7,0,3,45.74
New York,2023-12-11,21.0,54.9,48,41.7,77.8,64.3,1,5,55.97
New York,2023-12-12,23.7,70.1,57,28.7,49.6,57.5,1,2,45.28
